Country Name,"Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
Aruba,"ABW","Suscripciones a telefonía celular móvil","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","","","1718","3000","3402","5380","12000","15000","53000","61800","69952","98389","103417","109030","113586","120806","128000","131800","","135000","138800","139700","141000","","","","",
Afganistán,"AFG","Suscripciones a telefonía celular móvil","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25000","200000","600000","1200000","2520366","4668096","7898909","10500000","10215840","13797879","15340115","16807156","18407168","19709038","21602982","23929713","21976355","",
